permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
response,10,52,7.783647620520462,9.716247897193585e-5,6.146398499832109,Bootstrap02
response,10,52,9.409100085082873,0.26865947566506476,6.486779671375329,Bootstrap03
response,10,52,8.39592370457843,0.1571565480744163,6.33033095174063,Bootstrap04
response,10,52,6.938871583287837,3.449001461032784e-4,4.442302555753726,Bootstrap05
response,10,52,10.647361372696535,0.13971075024787524,8.570203084075573,Bootstrap06
response,10,52,8.382241667857494,0.13098797970086476,6.948410366041173,Bootstrap07
response,10,52,6.233362228480648,0.006440255454662455,4.333517121578844,Bootstrap08
response,10,52,8.007299910788678,0.019144742268854823,6.561642827391321,Bootstrap09
response,10,52,7.143780361691011,0.027346927261655447,5.092392342976575,Bootstrap10
response,11,53,5.987093183081666,0.05415911403322608,4.294658492856246,Bootstrap01
response,11,53,9.2581780728822,0.0954262633630945,7.152022107247452,Bootstrap02
response,11,53,5.503186992817552,2.0702944755439674e-6,4.486558732529452,Bootstrap03
response,11,53,6.884497296786454,0.6058164280156458,5.083430521879071,Bootstrap04
response,11,53,5.915292943162797,0.07823677571133618,5.336965737498171,Bootstrap05
response,11,53,6.351920185536441,0.12018903711654247,5.403040284864051,Bootstrap06
response,11,53,9.37790901832259,0.0015616465514692135,8.264208883583187,Bootstrap07
response,11,53,8.822887887343617,2.5223725849976768e-6,7.111220387410825,Bootstrap08
response,11,53,5.549769159013244,0.013324439734956683,4.907707689850684,Bootstrap09
response,11,53,7.338185151016489,0.009785433045691742,6.341080184444389,Bootstrap10
response,12,54,6.83039160729323,0.19183531416592473,5.740158349082903,Bootstrap01
response,12,54,5.669528592104225,0.2698932238173399,5.080423986800137,Bootstrap02
response,12,54,6.562077980042676,0.2998692285350979,5.466536363366637,Bootstrap03
response,12,54,8.135956227371524,0.35844744496668973,7.23605666575288,Bootstrap04
response,12,54,6.382045037336664,0.622348369742442,4.9434810949668195,Bootstrap05
response,12,54,5.002918953572181,0.13624116581703982,4.499030855304476,Bootstrap06
response,12,54,8.736710645272394,7.195776463340081e-4,7.97254693181305,Bootstrap07
response,12,54,8.595256371717262,0.1518065534882862,7.059921994105935,Bootstrap08
response,12,54,7.102213911804179,0.025689296774110287,5.3543385308475635,Bootstrap09
response,12,54,4.500033712471099,5.575435035592416e-4,3.771513159645275,Bootstrap10
response,13,55,8.872454416153325,0.0026759178250715028,6.050827369445816,Bootstrap01
response,13,55,6.4603610755733705,0.019371127051168516,4.845931516398387,Bootstrap02
response,13,55,7.549487148659107,0.031169136102074144,5.79405069780759,Bootstrap03
response,13,55,7.651924261525611,0.019926973566324863,5.388656844420378,Bootstrap04
response,13,55,9.100014636223513,0.03099458974587407,7.668326954128221,Bootstrap05
response,13,55,9.056979094125632,0.00920400170403842,7.52141298075,Bootstrap06
response,13,55,3.8540661755625907,0.15912715888726442,3.564882840208569,Bootstrap07
response,13,55,8.295387797835048,0.07880183386322148,6.61662990991635,Bootstrap08
response,13,55,8.460034229144764,0.004109620274194146,6.484679101746734,Bootstrap09
response,13,55,9.706018191723329,0.0451820826752522,8.234132397207057,Bootstrap10
response,14,56,11.051949852983615,0.2422472039923057,9.074701588913866,Bootstrap01
response,14,56,3.075874235192508,0.2254749689533435,2.69007090334244,Bootstrap02
response,14,56,7.384542468128409,0.06506068149167127,6.365947623408255,Bootstrap03
response,14,56,5.822078940762891,8.3297573062191e-4,4.68954214101319,Bootstrap04
response,14,56,9.046473700374817,0.21586018568617732,5.573146088486426,Bootstrap05
response,14,56,4.36659310761698,0.11218556488925377,3.799875379821617,Bootstrap06
response,14,56,6.898725704523436,0.24456648205700562,5.077631043562853,Bootstrap07
response,14,56,6.4861424848072495,0.15084179755816837,4.236459242503447,Bootstrap08
response,14,56,8.601916332512742,0.29972032832253936,7.071922818029708,Bootstrap09
response,14,56,10.78307762153103,0.029860630920066893,7.4204638091597985,Bootstrap10
response,15,57,5.409260677980102,1.0065611520861343e-5,4.775483947907272,Bootstrap01
