permutation_type,permutations,seed,RMSE,Rsquared,MAE,Resample
none,1,43,4.611408907399558,0.885387889031081,3.5130429953839863,Bootstrap01
none,1,43,1.7128415148574694,0.8755561115684766,1.3248912634587835,Bootstrap02
none,1,43,4.038493142868394,0.8185206438247838,3.1983858878845806,Bootstrap03
none,1,43,4.033439852353443,0.8752182437791495,3.537492734540572,Bootstrap04
none,1,43,1.9837844639923492,0.7489266405940505,1.5636983574771184,Bootstrap05
none,1,43,3.9747244284125824,0.8025195175164129,3.2192647554992813,Bootstrap06
none,1,43,2.5021208656764844,0.8305808299051723,1.4979608328412994,Bootstrap07
none,1,43,3.439427275701302,0.8990746249076136,2.249245070307524,Bootstrap08
none,1,43,2.0384482806192388,0.8910061704337611,1.7124863582816239,Bootstrap09
none,1,43,2.4533818063585624,0.9824697042348433,1.8906535955936508,Bootstrap10
none,2,44,1.875160461967487,0.8380627588547084,1.7561664097943925,Bootstrap01
none,2,44,3.742610759006756,0.6390578556767751,2.5212622518929204,Bootstrap02
none,2,44,2.819489275004151,0.9502419527447258,1.9993099403028045,Bootstrap03
none,2,44,3.466313513011755,0.8150497034935272,2.831103173186389,Bootstrap04
none,2,44,3.9336708144232175,0.9283351514284746,3.1718028371554454,Bootstrap05
none,2,44,3.371809319551245,0.9711449896667333,3.148060192883836,Bootstrap06
none,2,44,3.6290185056949484,0.805908017396543,3.0397339625344597,Bootstrap07
none,2,44,3.6306116062178386,0.8687700396956742,3.2262194591226487,Bootstrap08
none,2,44,4.711857330520742,0.8572385604434481,3.8490208315306824,Bootstrap09
none,2,44,3.4116052278899938,0.7473519851719559,2.6113068868521445,Bootstrap10
none,3,45,3.3780901971982287,0.9107372274249035,2.586398032483109,Bootstrap01
none,3,45,2.533738310127021,0.8505894131202761,2.192258783898953,Bootstrap02
none,3,45,2.1865010057853196,0.9468150081248019,1.9624805904196978,Bootstrap03
none,3,45,2.4095004656488106,0.8712779311848764,2.0822160232228604,Bootstrap04
none,3,45,3.9333217826640117,0.9373999424092139,2.9699603796319902,Bootstrap05
none,3,45,3.809060266411501,0.7699910861087742,2.944769434554748,Bootstrap06
none,3,45,2.4540703975777336,0.9554421867698394,1.9627402652171213,Bootstrap07
none,3,45,3.3853089759044432,0.8047571203518633,2.5128809361197364,Bootstrap08
none,3,45,3.4360894306433405,0.8056760814268208,2.3757464354119584,Bootstrap09
none,3,45,2.5486048880231564,0.8234171719910977,1.9955661480863347,Bootstrap10
